timestamp,vehicle_id,speed_kmh,engine_temp_c,battery_voltage_v,fault_code,location_lat,location_lon
2025-01-01 00:00:00,V001,91.97,97.61,13.94,0,57.700593,11.958097
2025-01-01 00:01:00,V001,42.85,97.89,13.26,0,57.71143,11.962792
2025-01-01 00:02:00,V001,89.68,96.33,13.37,0,57.709377,11.968028
2025-01-01 00:03:00,V001,56.13,88.93,13.6,0,57.67994,11.975187
2025-01-01 00:04:00,V001,77.71,86.08,14.01,0,57.698974,11.976134
2025-01-01 00:05:00,V001,43.25,85.54,12.99,0,57.695303,11.964379
2025-01-01 00:06:00,V001,62.95,100.89,13.79,0,57.689921,11.977059
2025-01-01 00:07:00,V001,75.2,105.66,14.01,0,57.694454,11.967859
2025-01-01 00:08:00,V001,73.19,85.81,13.87,0,57.691248,11.973351
2025-01-01 00:09:00,V001,81.46,90.86,13.29,0,57.689608,11.971539
2025-01-01 00:10:00,V001,76.04,72.36,13.21,1,57.701605,11.978439
2025-01-01 00:11:00,V001,69.87,90.81,13.61,0,57.692729,11.956613
2025-01-01 00:12:00,V001,82.93,87.46,13.77,0,57.693447,11.982361
2025-01-01 00:13:00,V001,83.27,92.27,12.9,1,57.698381,11.964124
2025-01-01 00:14:00,V001,70.88,79.59,13.35,0,57.701174,11.970626
2025-01-01 00:15:00,V001,72.71,98.89,13.46,0,57.703717,11.989098
2025-01-01 00:16:00,V001,58.84,73.78,13.8,0,57.69077,11.961665
2025-01-01 00:17:00,V001,92.24,85.21,13.42,0,57.699503,11.968912
2025-01-01 00:18:00,V001,63.54,77.97,13.36,0,57.683317,11.963572
2025-01-01 00:19:00,V001,82.47,107.14,14.61,0,57.694835,11.97339
2025-01-01 00:20:00,V001,84.56,93.76,12.63,0,57.717341,11.969871
2025-01-01 00:21:00,V001,56.42,74.58,13.62,0,57.684905,11.965991
2025-01-01 00:22:00,V001,70.19,108.25,14.14,0,57.713009,11.977022
2025-01-01 00:23:00,V001,69.45,72.1,14.15,0,57.712834,11.966044
2025-01-01 00:24:00,V001,58.23,85.77,14.15,0,57.70227,11.979272
2025-01-01 00:25:00,V001,60.46,93.73,14.27,0,57.712176,11.978283
2025-01-01 00:26:00,V001,86.93,96.68,14.35,0,57.709294,11.975694
2025-01-01 00:27:00,V001,67.93,94.82,13.82,0,57.677104,11.981971
2025-01-01 00:28:00,V001,78.66,82.57,14.39,0,57.68753,11.97753
2025-01-01 00:29:00,V001,74.87,103.61,12.47,0,57.70911,11.974321
2025-01-01 00:30:00,V001,80.4,86.2,14.18,0,57.698755,11.957745
2025-01-01 00:31:00,V001,77.63,73.82,13.85,0,57.707764,11.970502
2025-01-01 00:32:00,V001,53.69,99.75,13.24,0,57.694876,11.962363
2025-01-01 00:33:00,V001,83.23,94.58,14.55,0,57.701699,11.979069
2025-01-01 00:34:00,V001,66.26,97.99,14.14,0,57.702909,11.978952
2025-01-01 00:35:00,V001,69.31,91.22,14.16,0,57.710896,11.9848
2025-01-01 00:36:00,V001,79.49,86.74,14.94,0,57.699756,11.991315
2025-01-01 00:37:00,V001,66.34,86.88,13.22,0,57.704067,11.992577
2025-01-01 00:38:00,V001,54.52,79.56,14.06,0,57.682841,11.990933
2025-01-01 00:39:00,V001,44.39,94.25,14.34,0,57.698462,11.956565
2025-01-01 00:40:00,V001,52.07,92.84,13.73,0,57.701516,11.978474
2025-01-01 00:41:00,V001,68.96,105.72,13.89,0,57.686015,11.960732
